Variable,Variable_Label,Values,Value_Labels
QKEY,Unique ID,101437,Min. Val.
QKEY,Unique ID,2.02301e+11,Max. Val
INTERVIEW_START_W139,Interview start time,2023-11-27 19:50:47,Min. Val.
INTERVIEW_START_W139,Interview start time,2023-12-03 23:30:24,Max. Val
INTERVIEW_END_W139,Interview end time,2023-11-27 19:56:10,Min. Val.
INTERVIEW_END_W139,Interview end time,2023-12-03 23:36:00,Max. Val
DEVICE_TYPE_W139,The device used in the latest access of the survey link,1,Laptop/PC
DEVICE_TYPE_W139,The device used in the latest access of the survey link,2,Smartphone
DEVICE_TYPE_W139,The device used in the latest access of the survey link,3,Tablet
DEVICE_TYPE_W139,The device used in the latest access of the survey link,4,SmartTV
DEVICE_TYPE_W139,The device used in the latest access of the survey link,5,None of the above
LANG_W139, Language of interview,1,English
LANG_W139, Language of interview,2,Spanish
FORM_W139,Wave 139 form assignment,1,Form 1
FORM_W139,Wave 139 form assignment,2,Form 2
XPARTYSUMFINAL_W139,"Flag to identify Republicans, Republican leaners and non-leaners.",1,Rep/Lean Rep
XPARTYSUMFINAL_W139,"Flag to identify Republicans, Republican leaners and non-leaners.",2,Dem/Lean Dem
XPARTYSUMFINAL_W139,"Flag to identify Republicans, Republican leaners and non-leaners.",9,DK/Refused/No lean
XREG_W139,Flag to identify registered voters,1,Registered to vote (as of W133)
XREG_W139,Flag to identify registered voters,2,Not registered to vote (as of W133)
SATIS_W139,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",1,Satisfied
SATIS_W139,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",2,Dissatisfied
SATIS_W139,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",99,Refused
POL1JB_W139,Do you approve or disapprove of the way Joe Biden is handling his job as president?,1,Approve
POL1JB_W139,Do you approve or disapprove of the way Joe Biden is handling his job as president?,2,Disapprove
POL1JB_W139,Do you approve or disapprove of the way Joe Biden is handling his job as president?,99,Refused
POL1JBSTR_W139,Do you [approve/disapprove] of the way Joe Biden is handling his job as president…,1,Very strongly
POL1JBSTR_W139,Do you [approve/disapprove] of the way Joe Biden is handling his job as president…,2,Not so strongly
POL1JBSTR_W139,Do you [approve/disapprove] of the way Joe Biden is handling his job as president…,99,Refused
INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,2,Mostly favorable
INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,3,Mostly unfavorable
INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,4,Very unfavorable
INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,99,Refused
JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",2,Somewhat confident
JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",3,Not too confident
JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",4,Not at all confident
JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",99,Refused
JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",2,Somewhat confident
JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",3,Not too confident
JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",4,Not at all confident
JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",99,Refused
JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",2,Somewhat confident
JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",3,Not too confident
JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",4,Not at all confident
JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",99,Refused
JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",2,Somewhat confident
JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",3,Not too confident
JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",4,Not at all confident
JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",99,Refused
JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",2,Somewhat confident
JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",3,Not too confident
JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",4,Not at all confident
JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",99,Refused
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,1,Strongly approve
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,2,Somewhat approve
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,3,Somewhat disapprove
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,4,Strongly disapprove
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,5,Not sure
ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,99,Refused
REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",1,Excellent
REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",2,Good
REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",3,Only fair
REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",4,Poor
REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",99,Refused
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",1,Doug Burgum
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",2,Chris Christie
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",3,Ron DeSantis
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",4,Nikki Haley
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",5,Asa Hutchinson
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",6,"Robert F. Kennedy, Jr."
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",7,Vivek Ramaswamy
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",8,Donald Trump
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",25,Joe Biden
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",95,Undecided
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",96,Anyone
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",97,No one
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",98,Other
REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",99,Refused/NA
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
