,Variable,Variable_Label,Values,Value_Labels
0,QKEY,Unique ID,101437,Min. Val.
1,QKEY,,2.02301e+11,Max. Val
2,INTERVIEW_START_W139,Interview start time,2023-11-27 19:50:47,Min. Val.
3,INTERVIEW_START_W139,,2023-12-03 23:30:24,Max. Val
4,INTERVIEW_END_W139,Interview end time,2023-11-27 19:56:10,Min. Val.
5,INTERVIEW_END_W139,,2023-12-03 23:36:00,Max. Val
6,DEVICE_TYPE_W139,The device used in the latest access of the survey link,1,Laptop/PC
7,DEVICE_TYPE_W139,,2,Smartphone
8,DEVICE_TYPE_W139,,3,Tablet
9,DEVICE_TYPE_W139,,4,SmartTV
10,DEVICE_TYPE_W139,,5,None of the above
11,LANG_W139, Language of interview,1,English
12,LANG_W139,,2,Spanish
13,FORM_W139,Wave 139 form assignment,1,Form 1
14,FORM_W139,,2,Form 2
15,XPARTYSUMFINAL_W139,"Flag to identify Republicans, Republican leaners and non-leaners.",1,Rep/Lean Rep
16,XPARTYSUMFINAL_W139,,2,Dem/Lean Dem
17,XPARTYSUMFINAL_W139,,9,DK/Refused/No lean
18,XREG_W139,Flag to identify registered voters,1,Registered to vote (as of W133)
19,XREG_W139,,2,Not registered to vote (as of W133)
20,SATIS_W139,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",1,Satisfied
21,SATIS_W139,,2,Dissatisfied
22,SATIS_W139,,99,Refused
23,POL1JB_W139,Do you approve or disapprove of the way Joe Biden is handling his job as president?,1,Approve
24,POL1JB_W139,,2,Disapprove
25,POL1JB_W139,,99,Refused
26,POL1JBSTR_W139,Do you [approve/disapprove] of the way Joe Biden is handling his job as president…,1,Very strongly
27,POL1JBSTR_W139,,2,Not so strongly
28,POL1JBSTR_W139,,99,Refused
29,INSTFAV_a_W139,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
30,INSTFAV_a_W139,,2,Mostly favorable
31,INSTFAV_a_W139,,3,Mostly unfavorable
32,INSTFAV_a_W139,,4,Very unfavorable
33,INSTFAV_a_W139,,99,Refused
34,INSTFAV_b_W139,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
35,INSTFAV_b_W139,,2,Mostly favorable
36,INSTFAV_b_W139,,3,Mostly unfavorable
37,INSTFAV_b_W139,,4,Very unfavorable
38,INSTFAV_b_W139,,99,Refused
39,INSTFAV_c_W139,Congress // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
40,INSTFAV_c_W139,,2,Mostly favorable
41,INSTFAV_c_W139,,3,Mostly unfavorable
42,INSTFAV_c_W139,,4,Very unfavorable
43,INSTFAV_c_W139,,99,Refused
44,INSTFAV_FED_W139,The federal government in Washington // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
45,INSTFAV_FED_W139,,2,Mostly favorable
46,INSTFAV_FED_W139,,3,Mostly unfavorable
47,INSTFAV_FED_W139,,4,Very unfavorable
48,INSTFAV_FED_W139,,99,Refused
49,INSTFAV_STAT_W139,Your STATE government // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
50,INSTFAV_STAT_W139,,2,Mostly favorable
51,INSTFAV_STAT_W139,,3,Mostly unfavorable
52,INSTFAV_STAT_W139,,4,Very unfavorable
53,INSTFAV_STAT_W139,,99,Refused
54,INSTFAV_LOC_W139,Your LOCAL government // Do you have a favorable or unfavorable opinion of each of the following?,1,Very favorable
55,INSTFAV_LOC_W139,,2,Mostly favorable
56,INSTFAV_LOC_W139,,3,Mostly unfavorable
57,INSTFAV_LOC_W139,,4,Very unfavorable
58,INSTFAV_LOC_W139,,99,Refused
59,JBCONF_ECON_W139,"Make good decisions about economic policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
60,JBCONF_ECON_W139,,2,Somewhat confident
61,JBCONF_ECON_W139,,3,Not too confident
62,JBCONF_ECON_W139,,4,Not at all confident
63,JBCONF_ECON_W139,,99,Refused
64,JBCONF_CRIS_W139,"Handle an international crisis // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
65,JBCONF_CRIS_W139,,2,Somewhat confident
66,JBCONF_CRIS_W139,,3,Not too confident
67,JBCONF_CRIS_W139,,4,Not at all confident
68,JBCONF_CRIS_W139,,99,Refused
69,JBCONF_IMMI_W139,"Make wise decisions about immigration policy // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
70,JBCONF_IMMI_W139,,2,Somewhat confident
71,JBCONF_IMMI_W139,,3,Not too confident
72,JBCONF_IMMI_W139,,4,Not at all confident
73,JBCONF_IMMI_W139,,99,Refused
74,JBCONF_CONG_W139,"Work effectively with Congress // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
75,JBCONF_CONG_W139,,2,Somewhat confident
76,JBCONF_CONG_W139,,3,Not too confident
77,JBCONF_CONG_W139,,4,Not at all confident
78,JBCONF_CONG_W139,,99,Refused
79,JBCONF_CLSR_W139,"Bring the country closer together // Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",1,Very confident
80,JBCONF_CLSR_W139,,2,Somewhat confident
81,JBCONF_CLSR_W139,,3,Not too confident
82,JBCONF_CLSR_W139,,4,Not at all confident
83,JBCONF_CLSR_W139,,99,Refused
84,ISGZ_BDN_W139,Do you approve or disapprove of the Biden administration’s response to the Israel-Hamas war?,1,Strongly approve
85,ISGZ_BDN_W139,,2,Somewhat approve
86,ISGZ_BDN_W139,,3,Somewhat disapprove
87,ISGZ_BDN_W139,,4,Strongly disapprove
88,ISGZ_BDN_W139,,5,Not sure
89,ISGZ_BDN_W139,,99,Refused
90,REPFIELD_W139,"Overall, what`s your impression of the candidates running for the Republican presidential nomination? AS A GROUP, would you say the candidates are…",1,Excellent
91,REPFIELD_W139,,2,Good
92,REPFIELD_W139,,3,Only fair
93,REPFIELD_W139,,4,Poor
94,REPFIELD_W139,,99,Refused
95,REPNOMOE_CODED_W139,"Thinking about the 2024 presidential election, who would be your first choice for the Republican nomination for president?    Coded first choice",1,Doug Burgum
96,REPNOMOE_CODED_W139,,2,Chris Christie
97,REPNOMOE_CODED_W139,,3,Ron DeSantis
98,REPNOMOE_CODED_W139,,4,Nikki Haley
99,REPNOMOE_CODED_W139,,5,Asa Hutchinson
100,REPNOMOE_CODED_W139,,6,"Robert F. Kennedy, Jr."
101,REPNOMOE_CODED_W139,,7,Vivek Ramaswamy
102,REPNOMOE_CODED_W139,,8,Donald Trump
103,REPNOMOE_CODED_W139,,25,Joe Biden
104,REPNOMOE_CODED_W139,,95,Undecided
105,REPNOMOE_CODED_W139,,96,Anyone
106,REPNOMOE_CODED_W139,,97,No one
107,REPNOMOE_CODED_W139,,98,Other
108,REPNOMOE_CODED_W139,,99,Refused/NA
109,PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
110,PRICANDSAT_R_DT_W139,,2,Somewhat satisfied
111,PRICANDSAT_R_DT_W139,,3,Somewhat dissatisfied
112,PRICANDSAT_R_DT_W139,,4,Very dissatisfied
113,PRICANDSAT_R_DT_W139,,5,Have not heard enough to say
114,PRICANDSAT_R_DT_W139,,99,Refused
115,PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
116,PRICANDSAT_R_RDS_W139,,2,Somewhat satisfied
117,PRICANDSAT_R_RDS_W139,,3,Somewhat dissatisfied
118,PRICANDSAT_R_RDS_W139,,4,Very dissatisfied
119,PRICANDSAT_R_RDS_W139,,5,Have not heard enough to say
120,PRICANDSAT_R_RDS_W139,,99,Refused
121,PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
122,PRICANDSAT_R_CC_W139,,2,Somewhat satisfied
123,PRICANDSAT_R_CC_W139,,3,Somewhat dissatisfied
124,PRICANDSAT_R_CC_W139,,4,Very dissatisfied
125,PRICANDSAT_R_CC_W139,,5,Have not heard enough to say
126,PRICANDSAT_R_CC_W139,,99,Refused
127,PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
128,PRICANDSAT_R_VR_W139,,2,Somewhat satisfied
129,PRICANDSAT_R_VR_W139,,3,Somewhat dissatisfied
130,PRICANDSAT_R_VR_W139,,4,Very dissatisfied
131,PRICANDSAT_R_VR_W139,,5,Have not heard enough to say
132,PRICANDSAT_R_VR_W139,,99,Refused
133,PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
134,PRICANDSAT_R_NH_W139,,2,Somewhat satisfied
135,PRICANDSAT_R_NH_W139,,3,Somewhat dissatisfied
136,PRICANDSAT_R_NH_W139,,4,Very dissatisfied
137,PRICANDSAT_R_NH_W139,,5,Have not heard enough to say
138,PRICANDSAT_R_NH_W139,,99,Refused
139,REPDEALFGHT_W139,"Which is more important to you in a Republican presidential candidate? Someone who, if elected president, will focus on…",1,"Finding common ground with Democrats on policies, even if it means giving up some things Republicans want"
140,REPDEALFGHT_W139,,2,"Pushing hard for policies Republicans want, even if it makes it much harder to get some things done"
141,REPDEALFGHT_W139,,99,Refused
142,PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",1,Very good job
143,PRMRYSYT_W139,,2,Somewhat good job
144,PRMRYSYT_W139,,3,Somewhat bad job
145,PRMRYSYT_W139,,4,Very bad job
146,PRMRYSYT_W139,,99,Refused
147,REPPRI_FCS_W139,"So far, would you say the campaign for the Republican nomination has been…",1,Focused on the right issues
148,REPPRI_FCS_W139,,2,Not focused on the right issues
149,REPPRI_FCS_W139,,99,Refused
150,REPPRIMINT_W139,"So far, would you say the campaign for the Republican nomination has been…",1,Interesting
151,REPPRIMINT_W139,,2,Dull
152,REPPRIMINT_W139,,99,Refused
153,REPPRIMCOMP_W139,"From what you’ve read or heard, do you think the competition for the Republican nomination in 2024 will be…",1,A close race
154,REPPRIMCOMP_W139,,2,Not a close race
155,REPPRIMCOMP_W139,,99,Refused
156,UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,1,Extremely closely
157,UKRFOL_W139,,2,Very closely
158,UKRFOL_W139,,3,Somewhat closely
159,UKRFOL_W139,,4,Not too closely
160,UKRFOL_W139,,5,Not at all closely
161,UKRFOL_W139,,99,Refused
162,JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,1,Strongly approve
163,JB_RUSUKR_APP_W139,,2,Somewhat approve
164,JB_RUSUKR_APP_W139,,3,Somewhat disapprove
165,JB_RUSUKR_APP_W139,,4,Strongly disapprove
166,JB_RUSUKR_APP_W139,,5,Not sure
167,JB_RUSUKR_APP_W139,,99,Refused
168,UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",1,Too much support to Ukraine
169,UKR_SPRT_W139,,2,Not enough support to Ukraine
170,UKR_SPRT_W139,,3,About the right amount of support to Ukraine
171,UKR_SPRT_W139,,4,Not sure
172,UKR_SPRT_W139,,99,Refused
173,RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,1,A major threat
174,RU_UKN_THRT2_W139,,2,A minor threat
175,RU_UKN_THRT2_W139,,3,Not a threat
176,RU_UKN_THRT2_W139,,4,Not sure
177,RU_UKN_THRT2_W139,,99,Refused
178,PARTYTRAITH2H_FED_W139,Can effectively manage the federal government // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
179,PARTYTRAITH2H_FED_W139,,2,The Democratic Party
180,PARTYTRAITH2H_FED_W139,,3,No difference between the parties
181,PARTYTRAITH2H_FED_W139,,99,Refused
182,PARTYTRAITH2H_WORK_W139,Is willing to work with political leaders from the other party // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
183,PARTYTRAITH2H_WORK_W139,,2,The Democratic Party
184,PARTYTRAITH2H_WORK_W139,,3,No difference between the parties
