,Variable,Variable_Label,Values,Value_Labels
0,QKEY,Unique ID,100363,Min. Val.
1,QKEY,,2.02301e+11,Max. Val
2,INTERVIEW_START_W144,Interview start time,2024-03-18 16:42:42,Min. Val.
3,INTERVIEW_START_W144,,2024-03-24 23:42:40,Max. Val
4,INTERVIEW_END_W144,Interview end time,2024-03-18 16:47:09,Min. Val.
5,INTERVIEW_END_W144,,2024-03-24 23:47:48,Max. Val
6,DEVICE_TYPE_W144,The device used in the latest access of the survey link,1,Laptop/PC
7,DEVICE_TYPE_W144,,2,Smartphone
8,DEVICE_TYPE_W144,,3,Tablet
9,DEVICE_TYPE_W144,,4,SmartTV
10,DEVICE_TYPE_W144,,5,None of the above
11,LANG_W144, Language of interview,1,English
12,LANG_W144,,2,Spanish
13,XRAND_FB_IG_W144,Flag to randomly assign panelists to answer module about either Facebook or Instagram if they use all four social media platforms.,1,Facebook
14,XRAND_FB_IG_W144,,2,Instagram
15,SMUSE_a_W144,Facebook // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
16,SMUSE_a_W144,,2,"No, don’t use this"
17,SMUSE_a_W144,,99,Refused
18,SMUSE_c_W144,X (formerly Twitter) // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
19,SMUSE_c_W144,,2,"No, don’t use this"
20,SMUSE_c_W144,,99,Refused
21,SMUSE_d_W144,Instagram // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
22,SMUSE_d_W144,,2,"No, don’t use this"
23,SMUSE_d_W144,,99,Refused
24,SMUSE_i_W144,TikTok // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
25,SMUSE_i_W144,,2,"No, don’t use this"
26,SMUSE_i_W144,,99,Refused
27,SMUSE2_a_W144,Facebook // About how often do you visit or use…,1,Almost constantly
28,SMUSE2_a_W144,,2,Several times a day
29,SMUSE2_a_W144,,3,About once a day
30,SMUSE2_a_W144,,4,A few times a week
31,SMUSE2_a_W144,,5,About once a week
